Date,Open,High,Low,Close,Volume
1/2/2014 16:00:00,398.8,399.36,394.02,397.97,2140246
1/3/2014 16:00:00,398.29,402.71,396.22,396.44,2213512
1/6/2014 16:00:00,396.13,397,388.42,393.63,3172207
1/7/2014 16:00:00,395.04,398.47,394.29,398.03,1916684
1/8/2014 16:00:00,398.47,403,396.04,401.92,2316903
1/9/2014 16:00:00,403.75,406.89,398.44,401.01,2103793
1/10/2014 16:00:00,402.04,403.76,393.8,397.66,2681701
1/13/2014 16:00:00,397.67,399.78,388.45,390.98,2846507
1/14/2014 16:00:00,392.13,398.63,391.29,397.54,2340401
1/15/2014 16:00:00,398.94,399.31,392.53,395.87,2678794
1/16/2014 16:00:00,393.68,399.29,389.41,395.8,2602506
1/17/2014 16:00:00,394.26,403.49,393.66,399.61,4508791
1/21/2014 16:00:00,403.01,407.8,401.6,407.05,3122705
1/22/2014 16:00:00,408,408.06,402,404.54,2069759
1/23/2014 16:00:00,401,406.17,397.79,399.87,3026272
1/24/2014 16:00:00,398.16,400.2,387.27,387.6,4513038
1/27/2014 16:00:00,390.5,394.1,380.49,386.28,3944752
1/28/2014 16:00:00,387.4,394.74,387.12,394.43,2901611
1/29/2014 16:00:00,392.16,392.85,383.24,384.2,3399294
1/30/2014 16:00:00,393.77,406.25,387.7,403.01,10900116
1/31/2014 16:00:00,372.2,375.45,357.76,358.69,16181519
2/3/2014 16:00:00,358.99,360.85,340.1,346.15,10290934
2/4/2014 16:00:00,349.52,354,344.02,347.95,4821177
2/5/2014 16:00:00,346,349.37,337.73,346.45,4439010
2/6/2014 16:00:00,348.28,354.82,347.4,354.59,3340542
2/7/2014 16:00:00,358.67,361.8,352.49,361.08,4347189
2/10/2014 16:00:00,362.35,365,359.35,360.87,3451093
2/11/2014 16:00:00,362.34,363.61,356.25,361.79,3225200
2/12/2014 16:00:00,356.43,357.75,346.32,349.25,6599199
2/13/2014 16:00:00,347.85,357.2,346.5,357.2,4181445
2/14/2014 16:00:00,359,359.34,353.35,357.35,3524570
2/18/2014 16:00:00,354,355.73,349.45,353.65,5000493
