Date,Open,High,Low,Close,Volume
1/2/2014 16:00:00,59.08,59.52,58.41,58.59,2515392
1/3/2014 16:00:00,58.83,59.14,58.51,58.78,1920883
1/6/2014 16:00:00,58.93,59.15,57.43,57.78,3055060
1/7/2014 16:00:00,59.08,59.08,57.81,58.28,3167745
1/8/2014 16:00:00,58.29,58.5,57.36,58.02,2563349
1/9/2014 16:00:00,58.09,58.18,57.01,57.35,3074561
1/10/2014 16:00:00,58.35,59.84,57.29,59.6,5218097
1/13/2014 16:00:00,51.56,51.75,49,49.7,24045350
1/14/2014 16:00:00,49.89,49.94,48.89,49.26,6316321
1/15/2014 16:00:00,50.03,50.28,49.28,49.65,4702963
1/16/2014 16:00:00,49.45,49.91,48.5,48.79,4600967
1/17/2014 16:00:00,48.55,48.92,47.15,47.49,5918414
1/21/2014 16:00:00,47.06,48.25,46.5,47.85,5209254
1/22/2014 16:00:00,47.78,47.85,47.3,47.46,4650806
1/23/2014 16:00:00,47.2,47.4,46.35,47.15,5385275
1/24/2014 16:00:00,46.8,48.17,46.75,47.62,7201392
1/27/2014 16:00:00,47.17,47.6,45.54,46.27,4565574
1/28/2014 16:00:00,46.1,47.18,46.1,46.71,2034438
1/29/2014 16:00:00,46.18,46.48,45.4,45.68,2471785
1/30/2014 16:00:00,46.22,47.24,45.41,46.82,3652070
1/31/2014 16:00:00,45.84,46.37,45.54,45.69,2720567
2/3/2014 16:00:00,46,46.09,44.46,44.78,3051972
2/4/2014 16:00:00,44.92,46.11,44.68,44.98,3046915
2/5/2014 16:00:00,44.8,45.31,44.32,44.53,2364717
2/6/2014 16:00:00,44.45,45.58,44.36,45.45,3424740
2/7/2014 16:00:00,46.79,48.09,46.52,47.38,6577191
2/10/2014 16:00:00,47.84,48,46.81,47.53,2846930
2/11/2014 16:00:00,47.65,48.5,47.57,48.27,2820262
2/12/2014 16:00:00,48.75,49.76,48.22,49.4,4298306
2/13/2014 16:00:00,49.34,50.79,49.03,50.09,3899080
2/14/2014 16:00:00,50.32,51.41,49.94,51.05,3515706
2/18/2014 16:00:00,52.3,52.69,51.27,51.42,4268107
2/19/2014 16:00:00,51.26,52.29,50.33,51.21,3919545
2/20/2014 16:00:00,51.42,51.73,50.67,51.14,2255441
2/21/2014 16:00:00,51.34,51.82,51.12,51.39,1582645
2/24/2014 16:00:00,51.29,52.15,51.22,51.62,2054529
2/25/2014 16:00:00,51.82,51.98,50.45,51.52,2836094
2/26/2014 16:00:00,51.79,52.75,51.68,52.33,2737575
2/27/2014 16:00:00,52.45,53.39,52.07,52.91,2210972
2/28/2014 16:00:00,51.52,51.88,49.68,50.31,5690675
3/3/2014 16:00:00,49.5,50.69,49.14,49.56,3299999
3/4/2014 16:00:00,50.01,50.35,49.6,50.01,2305338
3/5/2014 16:00:00,50.15,50.47,49.71,49.88,1855685
3/6/2014 16:00:00,50,50.17,48.85,49.12,3113088
3/7/2014 16:00:00,49.57,50.2,49.22,49.61,2431762
3/10/2014 16:00:00,49.37,49.74,48.71,49.11,2249753
3/11/2014 16:00:00,49,49.47,48.61,48.7,2164361
3/12/2014 16:00:00,48.45,48.48,46.71,47.13,4867353
3/13/2014 16:00:00,47.45,47.5,46.43,46.78,2018924
3/14/2014 16:00:00,46.46,47.6,46.4,46.78,2016710
3/17/2014 16:00:00,47.11,48.29,47.01,48.04,2194511
3/18/2014 16:00:00,48.04,49.54,47.88,49.01,2957537
3/19/2014 16:00:00,49.6,50.94,49.08,50.23,3943875
3/20/2014 16:00:00,50.02,50.12,48.55,48.74,2864722
3/21/2014 16:00:00,48.73,48.95,47.49,47.63,4076704
3/24/2014 16:00:00,47.7,49.6,47.65,49.32,4243581
3/25/2014 16:00:00,49.64,49.97,47.8,47.99,3890392
3/26/2014 16:00:00,48.49,49.33,48.2,48.23,4776989
3/27/2014 16:00:00,50.02,52.98,49.82,51.2,11869901
3/28/2014 16:00:00,51.49,52.57,50.25,51.89,6767247
3/31/2014 16:00:00,52.97,53.2,51.99,52.59,3948951
4/1/2014 16:00:00,52.67,53,52.15,52.98,2597902
4/2/2014 16:00:00,52.97,54.63,52.53,54.41,3769481
4/3/2014 16:00:00,54.73,55.45,53.7,54.14,3462795
4/4/2014 16:00:00,54.85,55.18,53.75,54.18,3825555
4/7/2014 16:00:00,54.06,54.15,51.64,52.62,3486965
4/8/2014 16:00:00,52.61,53.74,52.37,53.16,1848451
4/9/2014 16:00:00,53.24,54.74,52.67,54.56,2557063
4/10/2014 16:00:00,53.8,54.41,52.13,52.57,2791028
4/11/2014 16:00:00,52.09,52.54,51.17,52.08,2465226
4/14/2014 16:00:00,52.39,53.68,52.02,52.39,2541017
4/15/2014 16:00:00,52.87,53.49,51.48,52.51,1905928
4/16/2014 16:00:00,52.85,53.33,52.21,52.71,1569835
4/17/2014 16:00:00,52.68,53.18,51.62,51.71,2688813
4/21/2014 16:00:00,51.7,51.7,47.91,49.07,7218806
4/22/2014 16:00:00,49.19,49.19,47.94,48.27,4223329
4/23/2014 16:00:00,48.35,48.64,47.41,47.51,3087064
4/24/2014 16:00:00,47.85,47.98,46.7,47.1,2540284
4/25/2014 16:00:00,46.91,47.38,45.49,45.5,3892342
4/28/2014 16:00:00,45.5,45.51,43.34,45.23,6543087
4/29/2014 16:00:00,45.2,45.94,44.84,45.58,2876311
4/30/2014 16:00:00,45.47,46.34,45.11,45.93,2397637
5/1/2014 16:00:00,45.72,46.19,44.72,44.99,2610935
5/2/2014 16:00:00,45.09,45.9,44.9,45.45,1690179
5/5/2014 16:00:00,45.45,45.89,45.01,45.57,1357403
5/6/2014 16:00:00,45.35,45.5,44.52,44.6,2334099
5/7/2014 16:00:00,44.5,44.6,42.28,43.7,3967239
5/8/2014 16:00:00,43.53,44.16,43,43.21,1742087
