Date,Open,High,Low,Close,Volume
1/2/2014 16:00:00,29.96,30.5,29.31,30.02,6195355
1/3/2014 16:00:00,30,30.44,29.72,29.91,4698839
1/6/2014 16:00:00,30,30.08,29.05,29.4,5367320
1/7/2014 16:00:00,29.52,30.08,29.05,29.87,5041806
1/8/2014 16:00:00,29.77,30.74,29.75,30.26,6166674
1/9/2014 16:00:00,30.5,30.69,29.37,29.51,5388905
1/10/2014 16:00:00,29.69,29.78,28.45,29.14,7450531
1/13/2014 16:00:00,29.13,29.4,27.56,27.87,6324647
1/14/2014 16:00:00,28.1,32.4,27.33,32.25,27935828
1/15/2014 16:00:00,33.66,34.45,32.42,32.83,20488981
1/16/2014 16:00:00,32.5,34.54,32.48,34.19,11982099
1/17/2014 16:00:00,34.04,34.64,33.59,34,9216028
1/21/2014 16:00:00,34.25,35.46,34.16,35.34,9745765
1/22/2014 16:00:00,35.58,36.06,34.95,35.71,7036758
1/23/2014 16:00:00,35.45,36.48,34.68,36.3,7899515
1/24/2014 16:00:00,35.57,36.1,34.71,34.92,7711296
1/27/2014 16:00:00,35,35.58,32.94,33.92,8737773
1/28/2014 16:00:00,34.3,35.8,34.2,35.68,6128237
1/29/2014 16:00:00,35.06,35.82,34.63,35.05,5956817
1/30/2014 16:00:00,35.6,36.96,35.4,36.57,8575210
1/31/2014 16:00:00,35.77,37.2,35.7,36.28,6512951
2/3/2014 16:00:00,36.58,36.98,35.03,35.42,6778609
2/4/2014 16:00:00,36,36.32,35.24,35.75,4690883
2/5/2014 16:00:00,35.66,36.12,33.87,34.88,7275952
2/6/2014 16:00:00,35.27,36.02,35.2,35.68,5847953
2/7/2014 16:00:00,36.2,37.33,35.92,37.31,8964054
2/10/2014 16:00:00,37.87,39.86,37.86,39.31,12989286
2/11/2014 16:00:00,39.79,40.44,38.54,39.32,10734472
2/12/2014 16:00:00,39.16,39.65,38.86,39.06,5181313
2/13/2014 16:00:00,38.67,40.54,38.65,39.93,8174049
2/14/2014 16:00:00,39.6,40.38,39.4,39.65,6173462
2/18/2014 16:00:00,41.02,41.2,40.27,40.74,9355871
2/19/2014 16:00:00,40.74,40.74,38.68,38.73,16419899
2/20/2014 16:00:00,43,43.04,41.25,41.99,18022262
2/21/2014 16:00:00,42.24,42.8,41.84,41.92,7828981
2/24/2014 16:00:00,41.72,43.67,41.66,43.53,8303133
2/25/2014 16:00:00,46,51.84,45.69,49.6,32797000
2/26/2014 16:00:00,51.72,53,49.5,50.6,24771194
2/27/2014 16:00:00,52.29,52.38,49.67,50.51,17970707
2/28/2014 16:00:00,50,50.54,48.51,48.96,14612693
3/3/2014 16:00:00,47.36,50.33,47,50.11,13109303
3/4/2014 16:00:00,51.68,52,50.57,50.97,8765392
3/5/2014 16:00:00,51.34,51.4,50.36,50.53,5946736
3/6/2014 16:00:00,50.83,51.5,49.89,50.59,7374719
3/7/2014 16:00:00,50.59,50.97,48.88,49.24,7818465
3/10/2014 16:00:00,48.54,48.6,47.21,47.77,7745751
3/11/2014 16:00:00,47.23,48.92,46.49,46.88,8836349
3/12/2014 16:00:00,46.23,49.5,46.22,48.3,9763911
3/13/2014 16:00:00,48.76,48.84,46.8,47.56,6236325
3/14/2014 16:00:00,47.06,47.39,45.66,46.19,8289733
3/17/2014 16:00:00,47,47.59,46.1,46.8,5912592
3/18/2014 16:00:00,47.39,48.3,47,48.01,6242349
3/19/2014 16:00:00,48.28,48.31,46.7,47.17,5071327
3/20/2014 16:00:00,47.2,47.85,46.67,46.98,3817905
3/21/2014 16:00:00,47.2,47.24,45.5,45.78,8227311
3/24/2014 16:00:00,45.95,45.98,42.05,44.03,11332947
3/25/2014 16:00:00,44.83,45.41,43.58,44.09,7865375
3/26/2014 16:00:00,44.31,44.52,42.27,42.59,6907306
3/27/2014 16:00:00,42.44,42.72,40.6,41.46,9505307
3/28/2014 16:00:00,42.56,43.34,42.05,42.47,9684761
3/31/2014 16:00:00,43.35,43.35,41.28,41.69,8380023
4/1/2014 16:00:00,41.8,43.63,41.72,43.39,7371422
4/2/2014 16:00:00,44,46.18,43.61,46.06,10782251
4/3/2014 16:00:00,46.06,47.15,44.4,45.08,10923734
4/4/2014 16:00:00,45.2,45.65,42.25,42.45,11345618
4/7/2014 16:00:00,41.16,43.24,40.7,41.5,9855478
4/8/2014 16:00:00,42,43.3,41.28,43.09,6889296
4/9/2014 16:00:00,43.4,43.69,42.18,43.39,5157923
4/10/2014 16:00:00,43.36,43.5,40.76,40.84,7211492
4/11/2014 16:00:00,40.15,41.4,39.72,40.76,9071300
4/14/2014 16:00:00,41.52,41.69,38.88,39.62,7703031
4/15/2014 16:00:00,39.82,39.86,36.86,38.78,13667071
4/16/2014 16:00:00,39.4,40,38.16,39.82,7205319
4/17/2014 16:00:00,39.92,40.46,38.82,39.62,5929506
4/21/2014 16:00:00,39.42,41.24,38.8,40.88,5266490
4/22/2014 16:00:00,41.27,43.87,41,43.73,9809333
4/23/2014 16:00:00,43.27,43.35,41.4,41.6,7295609
4/24/2014 16:00:00,42.16,42.56,40.64,41.57,5504768
4/25/2014 16:00:00,40.4,41.34,39.53,39.97,6996658
4/28/2014 16:00:00,40,40.76,38.1,39.7,7041983
4/29/2014 16:00:00,39.64,41.43,39.11,41.38,5787369
4/30/2014 16:00:00,40.72,41.63,40.26,41.58,4443453
5/1/2014 16:00:00,41.42,42.8,41.14,41.55,5444670
5/2/2014 16:00:00,41.72,42.27,41.3,42.18,4091394
